web-scraper-order,web-scraper-start-url,pages,pages-href,title,articles,articles-href,subtitle,author,date,content
"1571531636-12705","https://search.huffpost.com/search;_ylt=Awr9DtZeqqtdbPIAft5sBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2hBeUlveXZYVG9lR0FCUlBqQUo3NUEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMyNARxdWVyeQNhbGV4YW5kcmlhJTIwb2Nhc2lvLWNvcnRlegR0X3N0bXADMTU3MTUzMTU1Ng--?p=alexandria+ocasio-cortez&fr2=sb-top&fr=huffpost","3","https://search.huffpost.com/search;_ylt=Awr9BN4tq6tde24AJPxsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=alexandria+ocasio-cortez&fr=huffpost&fr2=sb-top&b=21&pz=10&bct=0&xargs=0","Alexandria Ocasio-Cortez’s Top 2 Staffers Leave Her Congressional Office","Alexandria Ocasio-Cortez's Top 2 Staffers Leave Her Congressional Office","https://search.huffpost.com/click/_ylt=Awr9Dstfq6tdNlgAPwJsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571560415/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2falexandria-ocasio-cortez-chief-of-staff-communications-director-leave_n_5d45dc9ae4b0ca604e32ee08/RK=2/RS=dqfO0JPulGTFLNpNeI7TBQa.w00-","Chief of Staff Saikat Chakrabarti will join efforts to develop the Green New Deal, and Communications Director Corbin Trent will work on the congresswoman’s 2020 campaign.","","08/03/2019 05:56 pm ET","“I don’t believe Sharice is a racist person, but her votes are showing her to enable a racist system,” he clarified."
"1571531653-12781","https://search.huffpost.com/search;_ylt=Awr9DtZeqqtdbPIAft5sBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2hBeUlveXZYVG9lR0FCUlBqQUo3NUEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMyNARxdWVyeQNhbGV4YW5kcmlhJTIwb2Nhc2lvLWNvcnRlegR0X3N0bXADMTU3MTUzMTU1Ng--?p=alexandria+ocasio-cortez&fr2=sb-top&fr=huffpost","2","https://search.huffpost.com/search;_ylt=Awr9BN4tq6tde24AI_xsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=alexandria+ocasio-cortez&fr=huffpost&fr2=sb-top&b=11&pz=10&bct=0&xargs=0","Alexandria Ocasio-Cortez Has A Blunt Correction For Trump’s Puerto Rico Boast","Ocasio-Cortez Has A Blunt Correction For Trump’s Puerto Rico Boast","https://search.huffpost.com/click/_ylt=Awr9CKt6q6tdRSgAKe5sBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571560442/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2falexandria-ocasio-cortez-trump-puerto-rico_n_5d673db2e4b063c341fa8ad6/RK=2/RS=CAExTkOH8dUAOZ945AgRlNNNa18-","The freshman lawmaker joins others in slamming Trump’s claim that he’s the “best thing that’s ever happened to Puerto Rico.”","","08/29/2019 12:34 am ET","Yet, Trump has repeatedly defended his administration’s response and attacked the island, and on Wednesday, Ocasio-Cortez had had enough:"
"1571531633-12688","https://search.huffpost.com/search;_ylt=Awr9DtZeqqtdbPIAft5sBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2hBeUlveXZYVG9lR0FCUlBqQUo3NUEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMyNARxdWVyeQNhbGV4YW5kcmlhJTIwb2Nhc2lvLWNvcnRlegR0X3N0bXADMTU3MTUzMTU1Ng--?p=alexandria+ocasio-cortez&fr2=sb-top&fr=huffpost","3","https://search.huffpost.com/search;_ylt=Awr9BN4tq6tde24AJPxsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=alexandria+ocasio-cortez&fr=huffpost&fr2=sb-top&b=21&pz=10&bct=0&xargs=0","All The Problems With This Anonymous Poll About Alexandria Ocasio-Cortez","All The Problems With This Anonymous Poll About Alexandria Ocasio-Cortez","https://search.huffpost.com/click/_ylt=Awr9Dstfq6tdNlgAQQJsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571560415/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2faxios-alexandria-ocasio-cortez-poll_n_5d2cdb78e4b0a5833c5d4bce/RK=2/RS=kYcnkQevWFzE7.iJ4EZbgFFMaOo-","Be smart: Don’t bother with unsourced data.","","07/15/2019 05:57 pm ET","That’s obviously one datapoint, and a dated one at that. But it suggests that these voters tend to be consistent either in liking the Democratic Party and its politicians or in disliking them."
"1571531576-12460","https://search.huffpost.com/search;_ylt=Awr9DtZeqqtdbPIAft5sBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2hBeUlveXZYVG9lR0FCUlBqQUo3NUEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMyNARxdWVyeQNhbGV4YW5kcmlhJTIwb2Nhc2lvLWNvcnRlegR0X3N0bXADMTU3MTUzMTU1Ng--?p=alexandria+ocasio-cortez&fr2=sb-top&fr=huffpost","5","https://search.huffpost.com/search;_ylt=Awr9BN4tq6tde24AJvxsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=alexandria+ocasio-cortez&fr=huffpost&fr2=sb-top&b=41&pz=10&bct=0&xargs=0","Megan Rapinoe Accepts Invitation From Ocasio-Cortez To Tour The U.S. House","Megan Rapinoe Accepts Invitation From Ocasio-Cortez To Tour The U.S. House","https://search.huffpost.com/click/_ylt=Awr9Ikovq6td7tUAGTRsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571560367/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fmegan-rapinoe-ocasio-cortez-soccer-white-house_n_5d16cf5ae4b082e5536968b8/RK=2/RS=yP2oSXiu01a47ryQNDut3_vxsM0-","“Consider it done!” in-your-face star midfielder responds after U.S. soccer team beats  France in Women’s World Cup quarterfinals.","","06/28/2019 11:42 pm ET","That’s bound to infuriate President Donald Trump, who found out last week that Rapinoe would not accept a team invitation to the White House to meet Trump, whom she has called a racist and a misogynist."
"1571531629-12647","https://search.huffpost.com/search;_ylt=Awr9DtZeqqtdbPIAft5sBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2hBeUlveXZYVG9lR0FCUlBqQUo3NUEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMyNARxdWVyeQNhbGV4YW5kcmlhJTIwb2Nhc2lvLWNvcnRlegR0X3N0bXADMTU3MTUzMTU1Ng--?p=alexandria+ocasio-cortez&fr2=sb-top&fr=huffpost","3","https://search.huffpost.com/search;_ylt=Awr9BN4tq6tde24AJPxsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=alexandria+ocasio-cortez&fr=huffpost&fr2=sb-top&b=21&pz=10&bct=0&xargs=0","‘The View’ Women Back Nancy Pelosi In Feud With Alexandria Ocasio-Cortez","'The View' Women Back Nancy Pelosi In Feud With Alexandria Ocasio-Cortez","https://search.huffpost.com/click/_ylt=Awr9Dstfq6tdNlgARQJsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571560415/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fthe-view-women-nancy-pelosi-alexandria-ocasio-cortez_n_5d27d6cae4b0060b11e9da79/RK=2/RS=hcCjCvJ3uSShN5TahXCCw9Cai1E-","But the real “enemy is the guy tweeting in his toilet,” co-host Joy Behar reminds the audience.","","07/12/2019 12:36 am ET","The women of “The View” joined forces Thursday to back House Speaker Nancy Pelosi (D-Calif.) against the latest attack from Rep. Alexandria Ocasio-Cortez. Co-host Joy Behar, however, told the audience that the real “enemy is the guy tweeting in his toilet” — meaning President Donald Trump."
"1571531636-12693","https://search.huffpost.com/search;_ylt=Awr9DtZeqqtdbPIAft5sBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2hBeUlveXZYVG9lR0FCUlBqQUo3NUEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMyNARxdWVyeQNhbGV4YW5kcmlhJTIwb2Nhc2lvLWNvcnRlegR0X3N0bXADMTU3MTUzMTU1Ng--?p=alexandria+ocasio-cortez&fr2=sb-top&fr=huffpost","3","https://search.huffpost.com/search;_ylt=Awr9BN4tq6tde24AJPxsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=alexandria+ocasio-cortez&fr=huffpost&fr2=sb-top&b=21&pz=10&bct=0&xargs=0","Alexandria Ocasio-Cortez’s Top 2 Staffers Leave Her Congressional Office","Alexandria Ocasio-Cortez's Top 2 Staffers Leave Her Congressional Office","https://search.huffpost.com/click/_ylt=Awr9Dstfq6tdNlgAPwJsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571560415/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2falexandria-ocasio-cortez-chief-of-staff-communications-director-leave_n_5d45dc9ae4b0ca604e32ee08/RK=2/RS=dqfO0JPulGTFLNpNeI7TBQa.w00-","Chief of Staff Saikat Chakrabarti will join efforts to develop the Green New Deal, and Communications Director Corbin Trent will work on the congresswoman’s 2020 campaign.","","08/03/2019 05:56 pm ET","Communications Director Corbin Trent will also step down from his role."
"1571531612-12603","https://search.huffpost.com/search;_ylt=Awr9DtZeqqtdbPIAft5sBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2hBeUlveXZYVG9lR0FCUlBqQUo3NUEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMyNARxdWVyeQNhbGV4YW5kcmlhJTIwb2Nhc2lvLWNvcnRlegR0X3N0bXADMTU3MTUzMTU1Ng--?p=alexandria+ocasio-cortez&fr2=sb-top&fr=huffpost","4","https://search.huffpost.com/search;_ylt=Awr9BN4tq6tde24AJfxsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=alexandria+ocasio-cortez&fr=huffpost&fr2=sb-top&b=31&pz=10&bct=0&xargs=0","Alexandria Ocasio-Cortez Compared To Kim Jong Un In Pro Baseball Team Video","Alexandria Ocasio-Cortez Compared To Kim Jong Un In Pro Baseball Team Video","https://search.huffpost.com/click/_ylt=Awr9DutGq6tde9kAqm9sBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571560390/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2falexandria-ocasio-cortez-kim-jong-un-fresno-grizzlies_n_5ced5b24e4b00e0365756cbe/RK=2/RS=ivNdv2VyPn5Scb2ly5ZI3n4aInc-","The Fresno Grizzlies apologized for not properly vetting the clip shown between games of a Memorial Day doubleheader.","","05/28/2019 01:32 pm ET","An image of Ocasio-Cortez, a progressive often targeted by conservatives, appeared between North Korean leader Kim Jong Un and the late Cuban strongman Fidel Castro in a Memorial Day tribute clip that aired during a Fresno Grizzlies doubleheader at Chukchansi Park, according to outlets."
"1571531604-12569","https://search.huffpost.com/search;_ylt=Awr9DtZeqqtdbPIAft5sBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2hBeUlveXZYVG9lR0FCUlBqQUo3NUEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMyNARxdWVyeQNhbGV4YW5kcmlhJTIwb2Nhc2lvLWNvcnRlegR0X3N0bXADMTU3MTUzMTU1Ng--?p=alexandria+ocasio-cortez&fr2=sb-top&fr=huffpost","4","https://search.huffpost.com/search;_ylt=Awr9BN4tq6tde24AJfxsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=alexandria+ocasio-cortez&fr=huffpost&fr2=sb-top&b=31&pz=10&bct=0&xargs=0","Louisiana Police Officer Suggests Alexandria Ocasio-Cortez Be Shot In Facebook Post","Louisiana Police Officer Suggests Alexandria Ocasio-Cortez Be Shot In Facebook Post","https://search.huffpost.com/click/_ylt=Awr9DutGq6tde9kAsG9sBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571560390/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2flousiana-police-officer-suggests-alexandria-ocasio-cortez-be-shot-in-facebook-post_n_5d34a5fce4b0419fd32e7a27/RK=2/RS=dzDTMBr76Xi7hw6bykY1OoU_NWU-","The violent remark comes amid heightened concern for lawmakers’ safety following Trump’s attacks on congresswomen of color.","","07/21/2019 05:14 pm ET","“I‘ve had mornings where I wake up & the 1st thing I do w/ my coffee is review photos of the men (it’s always men) who want to kill me,” she wrote, noting that she doesn’t even see them all ― only “the ones that have been flagged as particularly troubling.”"
"1571531644-12726","https://search.huffpost.com/search;_ylt=Awr9DtZeqqtdbPIAft5sBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2hBeUlveXZYVG9lR0FCUlBqQUo3NUEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMyNARxdWVyeQNhbGV4YW5kcmlhJTIwb2Nhc2lvLWNvcnRlegR0X3N0bXADMTU3MTUzMTU1Ng--?p=alexandria+ocasio-cortez&fr2=sb-top&fr=huffpost","3","https://search.huffpost.com/search;_ylt=Awr9BN4tq6tde24AJPxsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=alexandria+ocasio-cortez&fr=huffpost&fr2=sb-top&b=21&pz=10&bct=0&xargs=0","Bernie Sanders Suggests Nancy Pelosi Should Lay Off Alexandria Ocasio-Cortez","Bernie Sanders Suggests Nancy Pelosi Should Lay Off Alexandria Ocasio-Cortez","https://search.huffpost.com/click/_ylt=Awr9Dstfq6tdNlgAOwJsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571560415/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fbernie-sanders-nancy-pelosi-alexandria-ocasio-cortez_n_5d2b2b33e4b0060b11ee0199/RK=2/RS=BLhT982lcaaZUY3M6_HxQBGoWi8-","Asked whether Pelosi was being too tough on the freshman congresswoman, Sanders said, “I think a little bit.”","","07/14/2019 11:28 am ET","Ocasio-Cortez responded by calling Pelosi’s “singling out” of Democratic women of color “disrespectful.”"
"1571531665-12825","https://search.huffpost.com/search;_ylt=Awr9DtZeqqtdbPIAft5sBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2hBeUlveXZYVG9lR0FCUlBqQUo3NUEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMyNARxdWVyeQNhbGV4YW5kcmlhJTIwb2Nhc2lvLWNvcnRlegR0X3N0bXADMTU3MTUzMTU1Ng--?p=alexandria+ocasio-cortez&fr2=sb-top&fr=huffpost","2","https://search.huffpost.com/search;_ylt=Awr9BN4tq6tde24AI_xsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=alexandria+ocasio-cortez&fr=huffpost&fr2=sb-top&b=11&pz=10&bct=0&xargs=0","Alexandria Ocasio-Cortez Says She Loves ‘Everything About This GOP Attack Ad’","Alexandria Ocasio-Cortez Says She Loves 'Everything About This GOP Attack Ad'","https://search.huffpost.com/click/_ylt=Awr9CKt6q6tdRSgAH.5sBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571560442/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2falexandria-ocasio-cortez-loves-gop-attack-ad_n_5d68917ae4b06beb649bbf66/RK=2/RS=35L6x4Xtac0piOEcg1aywplyC.s-","The New York congresswoman says Republicans are doing her a favor with the video.","","08/30/2019 03:29 am ET","The MRC TV video is framed as a spoof of Jack Handey’s “Deep Thoughts” skit from “Saturday Night Live.” Dubbed “Shallow Thoughts,” it features footage of Ocasio-Cortez discussing climate change that had originally appeared on her Instagram. In the story, Ocasio-Cortez said that fighting climate change may be expensive, but ignoring it could have much more costly effects."
"1571531609-12598","https://search.huffpost.com/search;_ylt=Awr9DtZeqqtdbPIAft5sBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2hBeUlveXZYVG9lR0FCUlBqQUo3NUEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMyNARxdWVyeQNhbGV4YW5kcmlhJTIwb2Nhc2lvLWNvcnRlegR0X3N0bXADMTU3MTUzMTU1Ng--?p=alexandria+ocasio-cortez&fr2=sb-top&fr=huffpost","4","https://search.huffpost.com/search;_ylt=Awr9BN4tq6tde24AJfxsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=alexandria+ocasio-cortez&fr=huffpost&fr2=sb-top&b=31&pz=10&bct=0&xargs=0","Ocasio-Cortez Confronts Acting DHS Chief Over Secret Facebook Group For Border Agents","Ocasio-Cortez Confronts Acting DHS Chief Over Secret Facebook Group For Border Agents","https://search.huffpost.com/click/_ylt=Awr9DutGq6tde9kArG9sBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571560390/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2focasio-cortez-dhs-kevin-mcaleenan_n_5d315ecfe4b020cd99415156/RK=2/RS=OkGutL.18iV1KBDkFybyQDszgJU-","Freshman lawmaker Alexandria Ocasio-Cortez asked acting DHS Secretary Kevin McAleenan if Trump’s policies had contributed to a “dehumanizing culture.”","","07/19/2019 05:48 am ET","President Donald Trump and his immigration officials have faced a nonstop whirlwind of criticism over their hard-line border policies, including the short-lived but devastating “zero tolerance” policy that saw thousands of migrant children separated from their parents. Recently, border officials have been operating under the White House’s “Remain in Mexico” policy, which has seen thousands of asylum-seekers sent back across the southern border while they wait for their cases to be heard."
"1571531631-12667","https://search.huffpost.com/search;_ylt=Awr9DtZeqqtdbPIAft5sBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2hBeUlveXZYVG9lR0FCUlBqQUo3NUEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMyNARxdWVyeQNhbGV4YW5kcmlhJTIwb2Nhc2lvLWNvcnRlegR0X3N0bXADMTU3MTUzMTU1Ng--?p=alexandria+ocasio-cortez&fr2=sb-top&fr=huffpost","3","https://search.huffpost.com/search;_ylt=Awr9BN4tq6tde24AJPxsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=alexandria+ocasio-cortez&fr=huffpost&fr2=sb-top&b=21&pz=10&bct=0&xargs=0","Cops Fired For Facebook Post Suggesting Alexandria Ocasio-Cortez Should Be Shot","Cops Fired For Facebook Post Suggesting Alexandria Ocasio-Cortez Should Be Shot","https://search.huffpost.com/click/_ylt=Awr9Dstfq6tdNlgAQwJsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571560415/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2flouisiana-police-officers-fired-for-facebook-post-suggesting-alexandria-ocasio-cortez-be-shot_n_5d361bcde4b0419fd3315ffe/RK=2/RS=A0Jkl.oMbIfz8YMMpEi08dpI0PM-","The Gretna, Louisiana, police chief said he did not feel the Facebook post represented a legitimate threat.","","07/22/2019 06:53 pm ET","“This is Trump’s goal when he uses targeted language & threatens elected officials who don’t agree w/ his political agenda,” she said. “It’s authoritarian behavior.”"
"1571531606-12587","https://search.huffpost.com/search;_ylt=Awr9DtZeqqtdbPIAft5sBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2hBeUlveXZYVG9lR0FCUlBqQUo3NUEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMyNARxdWVyeQNhbGV4YW5kcmlhJTIwb2Nhc2lvLWNvcnRlegR0X3N0bXADMTU3MTUzMTU1Ng--?p=alexandria+ocasio-cortez&fr2=sb-top&fr=huffpost","4","https://search.huffpost.com/search;_ylt=Awr9BN4tq6tde24AJfxsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=alexandria+ocasio-cortez&fr=huffpost&fr2=sb-top&b=31&pz=10&bct=0&xargs=0","Writer Whose Ancestor Opened First Japanese American Camp: Ocasio-Cortez Is Right","Writer Whose Ancestor Opened First Japanese American Camp: Ocasio-Cortez Is Right","https://search.huffpost.com/click/_ylt=Awr9DutGq6tde9kArm9sBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571560390/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fwriter-whose-ancestor-opened-first-japanese-american-incarceration-camp-aoc-is-right_n_5d1bb24ce4b03d6116439857/RK=2/RS=DHT4QNYORugQkEopRq0x8IXv.9M-","Mary Catherine Ford’s ancestor Clayton Triggs opened the Manzanar War Relocation Center. She agrees detained migrants are in “concentration camps.”","","07/02/2019 10:56 pm ET","“A concentration camp is a place where civilians are confined for military or political purposes based on their identity,” she explained. “These were compounds of barracks surrounded by barbed wire fences and patrolled by armed guards, which Japanese Americans could not leave without permission.”"
"1571531629-12655","https://search.huffpost.com/search;_ylt=Awr9DtZeqqtdbPIAft5sBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2hBeUlveXZYVG9lR0FCUlBqQUo3NUEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMyNARxdWVyeQNhbGV4YW5kcmlhJTIwb2Nhc2lvLWNvcnRlegR0X3N0bXADMTU3MTUzMTU1Ng--?p=alexandria+ocasio-cortez&fr2=sb-top&fr=huffpost","3","https://search.huffpost.com/search;_ylt=Awr9BN4tq6tde24AJPxsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=alexandria+ocasio-cortez&fr=huffpost&fr2=sb-top&b=21&pz=10&bct=0&xargs=0","‘The View’ Women Back Nancy Pelosi In Feud With Alexandria Ocasio-Cortez","'The View' Women Back Nancy Pelosi In Feud With Alexandria Ocasio-Cortez","https://search.huffpost.com/click/_ylt=Awr9Dstfq6tdNlgARQJsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571560415/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fthe-view-women-nancy-pelosi-alexandria-ocasio-cortez_n_5d27d6cae4b0060b11e9da79/RK=2/RS=hcCjCvJ3uSShN5TahXCCw9Cai1E-","But the real “enemy is the guy tweeting in his toilet,” co-host Joy Behar reminds the audience.","","07/12/2019 12:36 am ET","The latest fissure erupted after Pelosi ended up ditching a House measure to instead back the Senate version of a border security bill last month, even though it offered no guarantees for humanitarian aid for detained immigrant children. Goldberg indicated at the start of the segment that the four first-term congresswomen were the only Democrats to vote against the Senate version, but, in fact, 95 Democrats in the House voted against it."
