web-scraper-order,web-scraper-start-url,pages,pages-href,title,articles,articles-href,subtitle,author,date,content
"1571530562-9963","https://search.huffpost.com/search;_ylt=Awr9DuYlpqtdLPUA49BsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2VFZEo4TU1BUnEudlJfbGhKRFM2TEEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxMgRxdWVyeQNkb25hbGQlMjB0cnVtcAR0X3N0bXADMTU3MTUzMDQ3Nw--?p=donald+trump&fr2=sb-top&fr=huffpost","3","https://search.huffpost.com/search;_ylt=Awr9BN70pqtdwZsAgmpsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=donald+trump&fr=huffpost&fr2=sb-top&b=21&pz=10&bct=0&xargs=0","GOP Senators Shrug As Trump Plans To Host G-7 Summit At His Own Resort","GOP Senators Shrug As Trump Plans To Host G-7 Summit At His Own Resort","https://search.huffpost.com/click/_ylt=Awr9DuQxp6tdEG4AaQdsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559345/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2ftrump-g7-summit-republicans_n_5da8c1aae4b0b24e75df35d2/RK=2/RS=2oIEeFYZsJhKw6SXO2dWEnGoMJo-","“I just think it’s another day in the life of Washington, D.C., these days,” Sen. Marco Rubio (R-Fla.) said.","","10/17/2019 05:27 pm ET","“It may seem careless politically, but on the other hand there’s tremendous integrity in his boldness and his transparency,” Sen. Kevin Cramer (R-N.D.) said of Trump, complaining that Democrats “make big deals out of nothing all the time.”"
"1571530562-9956","https://search.huffpost.com/search;_ylt=Awr9DuYlpqtdLPUA49BsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2VFZEo4TU1BUnEudlJfbGhKRFM2TEEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxMgRxdWVyeQNkb25hbGQlMjB0cnVtcAR0X3N0bXADMTU3MTUzMDQ3Nw--?p=donald+trump&fr2=sb-top&fr=huffpost","3","https://search.huffpost.com/search;_ylt=Awr9BN70pqtdwZsAgmpsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=donald+trump&fr=huffpost&fr2=sb-top&b=21&pz=10&bct=0&xargs=0","GOP Senators Shrug As Trump Plans To Host G-7 Summit At His Own Resort","GOP Senators Shrug As Trump Plans To Host G-7 Summit At His Own Resort","https://search.huffpost.com/click/_ylt=Awr9DuQxp6tdEG4AaQdsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559345/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2ftrump-g7-summit-republicans_n_5da8c1aae4b0b24e75df35d2/RK=2/RS=2oIEeFYZsJhKw6SXO2dWEnGoMJo-","“I just think it’s another day in the life of Washington, D.C., these days,” Sen. Marco Rubio (R-Fla.) said.","","10/17/2019 05:27 pm ET","“It’s so brazen and craven that it’s virtually saying, ‘To heck with the rule of law,’” said Sen. Richard Blumenthal (D-Conn.). The senator said he planned to add the matter to his lawsuit against Trump focusing on his business deals and the emoluments clause."
"1571530562-9958","https://search.huffpost.com/search;_ylt=Awr9DuYlpqtdLPUA49BsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2VFZEo4TU1BUnEudlJfbGhKRFM2TEEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxMgRxdWVyeQNkb25hbGQlMjB0cnVtcAR0X3N0bXADMTU3MTUzMDQ3Nw--?p=donald+trump&fr2=sb-top&fr=huffpost","3","https://search.huffpost.com/search;_ylt=Awr9BN70pqtdwZsAgmpsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=donald+trump&fr=huffpost&fr2=sb-top&b=21&pz=10&bct=0&xargs=0","GOP Senators Shrug As Trump Plans To Host G-7 Summit At His Own Resort","GOP Senators Shrug As Trump Plans To Host G-7 Summit At His Own Resort","https://search.huffpost.com/click/_ylt=Awr9DuQxp6tdEG4AaQdsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559345/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2ftrump-g7-summit-republicans_n_5da8c1aae4b0b24e75df35d2/RK=2/RS=2oIEeFYZsJhKw6SXO2dWEnGoMJo-","“I just think it’s another day in the life of Washington, D.C., these days,” Sen. Marco Rubio (R-Fla.) said.","","10/17/2019 05:27 pm ET","“This was by far and away the best choice,” Mulvaney claimed, noting the administration considered other options for the event."
"1571530509-9715","https://search.huffpost.com/search;_ylt=Awr9DuYlpqtdLPUA49BsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2VFZEo4TU1BUnEudlJfbGhKRFM2TEEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxMgRxdWVyeQNkb25hbGQlMjB0cnVtcAR0X3N0bXADMTU3MTUzMDQ3Nw--?p=donald+trump&fr2=sb-top&fr=huffpost","5","https://search.huffpost.com/search;_ylt=Awr9BN70pqtdwZsAhGpsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=donald+trump&fr=huffpost&fr2=sb-top&b=41&pz=10&bct=0&xargs=0","Trump Appoints ‘Illuminati’ Self-Help Author ‘Magus Incognito’ To Federal Education Board","Trump Appoints Illuminati Self-Help Author 'Magus Incognito' To Federal Education Board","https://search.huffpost.com/click/_ylt=Awr9Ds72pqtdtggAcg1sBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559286/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fmagus-incognito-george-mentz-trump-education-board_n_5da87fa4e4b0b24e75de7719/RK=2/RS=johg1PrBD.Lwrb7Pm8C5sWV1GvM-","The writer, whose real name is George Mentz, also sells certifications that you’ve likely never heard of.","","10/17/2019 02:09 pm ET","In addition to his work as an author, Mentz pens finance columns for the conservative website Newsmax, and teaches online financial planning courses for Texas A&M University."
"1571530507-9705","https://search.huffpost.com/search;_ylt=Awr9DuYlpqtdLPUA49BsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2VFZEo4TU1BUnEudlJfbGhKRFM2TEEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxMgRxdWVyeQNkb25hbGQlMjB0cnVtcAR0X3N0bXADMTU3MTUzMDQ3Nw--?p=donald+trump&fr2=sb-top&fr=huffpost","5","https://search.huffpost.com/search;_ylt=Awr9BN70pqtdwZsAhGpsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=donald+trump&fr=huffpost&fr2=sb-top&b=41&pz=10&bct=0&xargs=0","Trump Pens Bizarre Letter To Turkey’s Erdogan About Syria: ‘Don’t Be A Tough Guy’","Trump Pens Bizarre Letter To Turkey's Erdogan About Syria: 'Don't Be A Tough Guy'","https://search.huffpost.com/click/_ylt=Awr9Ds72pqtdtggAdA1sBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559286/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2ftrump-letter-erdogan-turkey_n_5da785efe4b034f1d69c963a/RK=2/RS=rAmBXHqWSvIuDGmiINc7LlNfbYQ-","President Donald Trump wrote a strange letter to the Turkish president advising the foreign leader not to be a “tough guy” or a “fool.”","","10/16/2019 05:52 pm ET","S.V. Date contributed reporting."
"1571530558-9925","https://search.huffpost.com/search;_ylt=Awr9DuYlpqtdLPUA49BsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2VFZEo4TU1BUnEudlJfbGhKRFM2TEEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxMgRxdWVyeQNkb25hbGQlMjB0cnVtcAR0X3N0bXADMTU3MTUzMDQ3Nw--?p=donald+trump&fr2=sb-top&fr=huffpost","3","https://search.huffpost.com/search;_ylt=Awr9BN70pqtdwZsAgmpsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=donald+trump&fr=huffpost&fr2=sb-top&b=21&pz=10&bct=0&xargs=0","Gordon Sondland’s Testimony About The Trump-Ukraine Scandal Defies Belief","Gordon Sondland’s Testimony About The Trump-Ukraine Scandal Defies Belief","https://search.huffpost.com/click/_ylt=Awr9DuQxp6tdEG4AbQdsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559345/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fsondland-ukraine-trump-giuliani_n_5da8ca57e4b034f1d69f7557/RK=2/RS=grDmy3ZP8adCNPpHhQc43LyvpQ8-","The ambassador claims he didn’t know Donald Trump was targeting Joe Biden in Ukraine — but the evidence was on front pages for months.","Nick Robins-Early","10/17/2019 06:05 pm ET",""
"1571530545-9875","https://search.huffpost.com/search;_ylt=Awr9DuYlpqtdLPUA49BsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2VFZEo4TU1BUnEudlJfbGhKRFM2TEEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxMgRxdWVyeQNkb25hbGQlMjB0cnVtcAR0X3N0bXADMTU3MTUzMDQ3Nw--?p=donald+trump&fr2=sb-top&fr=huffpost","4","https://search.huffpost.com/search;_ylt=Awr9BN70pqtdwZsAg2psBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=donald+trump&fr=huffpost&fr2=sb-top&b=31&pz=10&bct=0&xargs=0","Next G-7 Summit To Be Held At Trump’s Miami Golf Course","Next G-7 Summit To Be Held At Trump's Miami Golf Course","https://search.huffpost.com/click/_ylt=Awr9DuYZp6tdNmIAvgZsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559321/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fg7-summit-trump-golf-course-miami_n_5da89adbe4b034f1d69f0703/RK=2/RS=w1bZyIG5rgkGFxXVOTENIk_r7ZQ-","Acting chief of staff Mick Mulvaney dismissed concerns that the president would personally profit by holding the summit at a property he owns.","","10/17/2019 12:56 pm ET","Trump first floated the idea of hosting the G-7 summit at his Florida resort in August, prompting the House Judiciary Committee to look into potential violations of the U.S. Constitution."
"1571530553-9911","https://search.huffpost.com/search;_ylt=Awr9DuYlpqtdLPUA49BsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2VFZEo4TU1BUnEudlJfbGhKRFM2TEEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxMgRxdWVyeQNkb25hbGQlMjB0cnVtcAR0X3N0bXADMTU3MTUzMDQ3Nw--?p=donald+trump&fr2=sb-top&fr=huffpost","3","https://search.huffpost.com/search;_ylt=Awr9BN70pqtdwZsAgmpsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=donald+trump&fr=huffpost&fr2=sb-top&b=21&pz=10&bct=0&xargs=0","Rick Perry Officially Notifies Trump Of His Resignation","Rick Perry Officially Notifies Trump Of His Resignation","https://search.huffpost.com/click/_ylt=Awr9DuQxp6tdEG4AcQdsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559345/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2frick-perry-resigns-trump_n_5da8d003e4b0bc9247599b5b/RK=2/RS=7hKNFvtBPrCj40gv5hpT4jmHwNQ-","The energy secretary said he’ll step down from the Cabinet “at a date later this year” after weeks of speculation over his departure.","","10/17/2019 04:40 pm ET","Perry told the Journal that the call was intended to help set up a meeting between Trump and Ukrainian President Volodymyr Zelensky. The remarks Perry made in that interview directly contradicts an earlier report by Axios that Trump during a conference call claimed he unwillingly made the call to Zelensky, which is now the focus of a House impeachment probe because Perry urged him to."
"1571530581-10058","https://search.huffpost.com/search;_ylt=Awr9DuYlpqtdLPUA49BsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2VFZEo4TU1BUnEudlJfbGhKRFM2TEEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxMgRxdWVyeQNkb25hbGQlMjB0cnVtcAR0X3N0bXADMTU3MTUzMDQ3Nw--?p=donald+trump&fr2=sb-top&fr=huffpost","2","https://search.huffpost.com/search;_ylt=Awr9BN70pqtdwZsAgWpsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=donald+trump&fr=huffpost&fr2=sb-top&b=11&pz=10&bct=0&xargs=0","GOP Group Uses Trump’s Own Words On Corruption Against Him In Searing Fox News Ad","GOP Group Uses Trump's Own Words On Corruption Against Him In Searing Fox News Ad","https://search.huffpost.com/click/_ylt=Awr9DuhGp6tdMBcALW1sBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559367/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2frepublicans-for-the-rule-of-law-trump-properties-ad_n_5da96ed3e4b0e0f0378998f3/RK=2/RS=Q1a.yVIKPVaRaoxOPGJFLLPIc20-","Republicans for the Rule of Law released the commercial after the president decided to host the next G-7 summit at a Trump golf resort.","","10/18/2019 05:59 am ET","The 67-second ad will air on Fox News in the Washington, D.C., area on Monday during the widely watched morning show “Fox & Friends.” It will also appear on the conservative network’s digital platforms."
"1571530540-9849","https://search.huffpost.com/search;_ylt=Awr9DuYlpqtdLPUA49BsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2VFZEo4TU1BUnEudlJfbGhKRFM2TEEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxMgRxdWVyeQNkb25hbGQlMjB0cnVtcAR0X3N0bXADMTU3MTUzMDQ3Nw--?p=donald+trump&fr2=sb-top&fr=huffpost","4","https://search.huffpost.com/search;_ylt=Awr9BN70pqtdwZsAg2psBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=donald+trump&fr=huffpost&fr2=sb-top&b=31&pz=10&bct=0&xargs=0","Trevor Noah Mocks Trump’s Sons For Complaining About Nepotism","Trevor Noah Mocks Trump's Sons For Complaining About Nepotism","https://search.huffpost.com/click/_ylt=Awr9DuYZp6tdNmIAwgZsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559321/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fdaily-show-hunter-biden-trump-junior-nepotism_n_5da7f382e4b034f1d69cfd63/RK=2/RS=qPI8IPsft5kAnNpX_kgkhf70tZw-","“The Daily Show” host thinks it’s curious that Donald Trump Jr. and Eric Trump are griping about Hunter Biden.","","10/17/2019 02:42 am ET","Noah said he could understand why most people would complain about Hunter Biden getting a leg up in life via his last name, but what he couldn’t understand was the Trump children doing it."
"1571530505-9684","https://search.huffpost.com/search;_ylt=Awr9DuYlpqtdLPUA49BsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2VFZEo4TU1BUnEudlJfbGhKRFM2TEEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxMgRxdWVyeQNkb25hbGQlMjB0cnVtcAR0X3N0bXADMTU3MTUzMDQ3Nw--?p=donald+trump&fr2=sb-top&fr=huffpost","5","https://search.huffpost.com/search;_ylt=Awr9BN70pqtdwZsAhGpsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=donald+trump&fr=huffpost&fr2=sb-top&b=41&pz=10&bct=0&xargs=0","In Chilling Echo Of Ethnic Cleansing, Trump Says North Syria Needed To Be ‘Cleaned Out’","In Chilling Echo Of Ethnic Cleansing, Trump Says North Syria Needed To Be 'Cleaned Out'","https://search.huffpost.com/click/_ylt=Awr9Ds72pqtdtggAdg1sBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559286/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2ftrump-erdogan-kurds-ethnic-cleansing-syria-ceasefire_n_5da8e1eae4b0bc924759b575/RK=2/RS=Bn9e3sHPBx_b5Jkv5PmVclLqzlo-","The president called it “rough love.”","","10/17/2019 08:45 pm ET","Trump called it a “great day for the United States. It’s a great day for Turkey ... The Kurds were great. Great day for the Kurds. It’s really a great day for civilization.”"
"1571530545-9874","https://search.huffpost.com/search;_ylt=Awr9DuYlpqtdLPUA49BsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2VFZEo4TU1BUnEudlJfbGhKRFM2TEEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxMgRxdWVyeQNkb25hbGQlMjB0cnVtcAR0X3N0bXADMTU3MTUzMDQ3Nw--?p=donald+trump&fr2=sb-top&fr=huffpost","4","https://search.huffpost.com/search;_ylt=Awr9BN70pqtdwZsAg2psBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=donald+trump&fr=huffpost&fr2=sb-top&b=31&pz=10&bct=0&xargs=0","Next G-7 Summit To Be Held At Trump’s Miami Golf Course","Next G-7 Summit To Be Held At Trump's Miami Golf Course","https://search.huffpost.com/click/_ylt=Awr9DuYZp6tdNmIAvgZsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559321/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fg7-summit-trump-golf-course-miami_n_5da89adbe4b034f1d69f0703/RK=2/RS=w1bZyIG5rgkGFxXVOTENIk_r7ZQ-","Acting chief of staff Mick Mulvaney dismissed concerns that the president would personally profit by holding the summit at a property he owns.","","10/17/2019 12:56 pm ET","“The Administration’s announcement that President Trump’s Doral Miami resort will be the site of the next G7 summit is among the most brazen examples yet of the President’s corruption,” Nadler said. “He is exploiting his office and making official U.S. government decisions for his personal financial gain.”"
"1571530514-9744","https://search.huffpost.com/search;_ylt=Awr9DuYlpqtdLPUA49BsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2VFZEo4TU1BUnEudlJfbGhKRFM2TEEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxMgRxdWVyeQNkb25hbGQlMjB0cnVtcAR0X3N0bXADMTU3MTUzMDQ3Nw--?p=donald+trump&fr2=sb-top&fr=huffpost","5","https://search.huffpost.com/search;_ylt=Awr9BN70pqtdwZsAhGpsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=donald+trump&fr=huffpost&fr2=sb-top&b=41&pz=10&bct=0&xargs=0","Republicans Rage At Trump’s Syria Policy With Little To Show For It","Republicans Rage At Trump's Syria Policy With Little To Show For It","https://search.huffpost.com/click/_ylt=Awr9Ds72pqtdtggAbg1sBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559286/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2ftrump-syria-turkey-kurds-republicans_n_5da776f6e4b034f1d69c80c9/RK=2/RS=2bwG020QKjmY3y3ybQw7LfJqU3g-","They huffed and they puffed and, well, they’re still not standing up to Trump.","","10/16/2019 10:02 pm ET","Earlier Wednesday, Trump further undermined the long-standing alliance between U.S. and Kurdish forces who have been fighting alongside each other against ISIS in Syria. The president said that the Kurds are “not angels” and that Turkey’s invasion of Syria is “not our problem.”"
"1571530507-9704","https://search.huffpost.com/search;_ylt=Awr9DuYlpqtdLPUA49BsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2VFZEo4TU1BUnEudlJfbGhKRFM2TEEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxMgRxdWVyeQNkb25hbGQlMjB0cnVtcAR0X3N0bXADMTU3MTUzMDQ3Nw--?p=donald+trump&fr2=sb-top&fr=huffpost","5","https://search.huffpost.com/search;_ylt=Awr9BN70pqtdwZsAhGpsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=donald+trump&fr=huffpost&fr2=sb-top&b=41&pz=10&bct=0&xargs=0","Trump Pens Bizarre Letter To Turkey’s Erdogan About Syria: ‘Don’t Be A Tough Guy’","Trump Pens Bizarre Letter To Turkey's Erdogan About Syria: 'Don't Be A Tough Guy'","https://search.huffpost.com/click/_ylt=Awr9Ds72pqtdtggAdA1sBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559286/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2ftrump-letter-erdogan-turkey_n_5da785efe4b034f1d69c963a/RK=2/RS=rAmBXHqWSvIuDGmiINc7LlNfbYQ-","President Donald Trump wrote a strange letter to the Turkish president advising the foreign leader not to be a “tough guy” or a “fool.”","","10/16/2019 05:52 pm ET","Erdogan vowed to press on with the offensive in northern Syria until his mission to create a “safe zone” was complete and the region was cleared of Kurdish forces. He maintained Tuesday that Turkey would “never declare a ceasefire,” saying that he was not worried about any sanctions."
"1571530540-9850","https://search.huffpost.com/search;_ylt=Awr9DuYlpqtdLPUA49BsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkA2VFZEo4TU1BUnEudlJfbGhKRFM2TEEEbl9yc2x0AzAEbl9zdWdnAzEwBG9yaWdpbgNzZWFyY2guaHVmZnBvc3QuY29tBHBvcwMwBHBxc3RyAwRwcXN0cmwDMARxc3RybAMxMgRxdWVyeQNkb25hbGQlMjB0cnVtcAR0X3N0bXADMTU3MTUzMDQ3Nw--?p=donald+trump&fr2=sb-top&fr=huffpost","4","https://search.huffpost.com/search;_ylt=Awr9BN70pqtdwZsAg2psBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=donald+trump&fr=huffpost&fr2=sb-top&b=31&pz=10&bct=0&xargs=0","Trevor Noah Mocks Trump’s Sons For Complaining About Nepotism","Trevor Noah Mocks Trump's Sons For Complaining About Nepotism","https://search.huffpost.com/click/_ylt=Awr9DuYZp6tdNmIAwgZsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559321/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fdaily-show-hunter-biden-trump-junior-nepotism_n_5da7f382e4b034f1d69cfd63/RK=2/RS=qPI8IPsft5kAnNpX_kgkhf70tZw-","“The Daily Show” host thinks it’s curious that Donald Trump Jr. and Eric Trump are griping about Hunter Biden.","","10/17/2019 02:42 am ET","Trump Jr. drew ire on Twitter Tuesday after he criticized Hunter Biden for acknowledging in an interview that he would not have acquired certain roles on the boards of companies had he not been the son of former Vice President Joe Biden:"
