web-scraper-order,web-scraper-start-url,pages,pages-href,title,articles,articles-href,subtitle,author,date,content
"1571530310-9320","https://search.huffpost.com/search;_ylt=Awr9Fq3ko6tdnQwACnNsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkAzk3TVhncUNtVEJLZFduc00xQUNwa0EEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzExBHF1ZXJ5A2pvaG4lMjBtY2NhaW4EdF9zdG1wAzE1NzE1MzAyNzk-?p=john+mccain&fr2=sb-top&fr=huffpost","5","https://search.huffpost.com/search;_ylt=AwrgDaMrpqtduSUA29hsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=john+mccain&fr=huffpost&fr2=sb-top&b=41&pz=10&bct=0&xargs=0","Washington National Cathedral: John McCain’s Funeral Did Not Require Trump’s OK","Washington National Cathedral: John McCain's Funeral Did Not Require Trump's OK","https://search.huffpost.com/click/_ylt=Awr9ImAtpqtdHVgAJTRsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559086/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fwashington-national-cathedral-john-mccain-funeral-trump_n_5c93fa18e4b0a6329e14249e/RK=2/RS=wIr82ttLONdKQBWLSBwx7rPWYno-","The church said that funerals there are organized by the grieving families, no presidential approval needed.","","03/21/2019 06:26 pm ET","On Wednesday, Trump claimed that he was not thanked for signing off on the funeral arrangements for the Republican senator, who died in August 2018."
"1571530310-9318","https://search.huffpost.com/search;_ylt=Awr9Fq3ko6tdnQwACnNsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkAzk3TVhncUNtVEJLZFduc00xQUNwa0EEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzExBHF1ZXJ5A2pvaG4lMjBtY2NhaW4EdF9zdG1wAzE1NzE1MzAyNzk-?p=john+mccain&fr2=sb-top&fr=huffpost","5","https://search.huffpost.com/search;_ylt=AwrgDaMrpqtduSUA29hsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=john+mccain&fr=huffpost&fr2=sb-top&b=41&pz=10&bct=0&xargs=0","Washington National Cathedral: John McCain’s Funeral Did Not Require Trump’s OK","Washington National Cathedral: John McCain's Funeral Did Not Require Trump's OK","https://search.huffpost.com/click/_ylt=Awr9ImAtpqtdHVgAJTRsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559086/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fwashington-national-cathedral-john-mccain-funeral-trump_n_5c93fa18e4b0a6329e14249e/RK=2/RS=wIr82ttLONdKQBWLSBwx7rPWYno-","The church said that funerals there are organized by the grieving families, no presidential approval needed.","","03/21/2019 06:26 pm ET","The Washington National Cathedral is fighting back against President Donald Trump’s assertion that he had to approve the funeral arrangements for Sen. John McCain, one eyebrow-raising comment in his latest string of jabs against the late Arizona lawmaker."
"1571530307-9309","https://search.huffpost.com/search;_ylt=Awr9Fq3ko6tdnQwACnNsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkAzk3TVhncUNtVEJLZFduc00xQUNwa0EEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzExBHF1ZXJ5A2pvaG4lMjBtY2NhaW4EdF9zdG1wAzE1NzE1MzAyNzk-?p=john+mccain&fr2=sb-top&fr=huffpost","5","https://search.huffpost.com/search;_ylt=AwrgDaMrpqtduSUA29hsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=john+mccain&fr=huffpost&fr2=sb-top&b=41&pz=10&bct=0&xargs=0","John McCain’s Ex-Jailer In Vietnam Remembers His ‘Toughness’ In Captivity","McCain's Ex-Jailer In Vietnam Remembers His 'Toughness' In Captivity","https://search.huffpost.com/click/_ylt=Awr9ImAtpqtdHVgAJzRsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559086/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2ftran-trong-duyet-john-mccain_n_5b8396b2e4b0cd327dfe1316/RK=2/RS=Ihh68IjmkJWLRIXMx1XTXL.igkI-","Col. Tran Trong Duyet also praised McCain’s contributions to U.S.-Vietnamese relations.","","08/27/2018 03:30 pm ET","McCain was subjected to repeated beatings and interrogations while being held captive and sustained lifelong injuries that prevented him from raising his arms above his head."
"1571530326-9378","https://search.huffpost.com/search;_ylt=Awr9Fq3ko6tdnQwACnNsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkAzk3TVhncUNtVEJLZFduc00xQUNwa0EEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzExBHF1ZXJ5A2pvaG4lMjBtY2NhaW4EdF9zdG1wAzE1NzE1MzAyNzk-?p=john+mccain&fr2=sb-top&fr=huffpost","4","https://search.huffpost.com/search;_ylt=AwrgDaMrpqtduSUA2thsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=john+mccain&fr=huffpost&fr2=sb-top&b=31&pz=10&bct=0&xargs=0","Here’s How John McCain Will Be Memorialized This Week","Here's How John McCain Will Be Memorialized This Week","https://search.huffpost.com/click/_ylt=AwrT7dpHpqtdoAIAiitsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559111/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fjohn-mccain-memorial-services_n_5b83f1d4e4b072951514a394/RK=2/RS=7O2aTQOceATiwq402qChj_CA8CA-","Among the ceremonies: a service at the Washington National Cathedral featuring eulogies from former presidents Barack Obama and George W. Bush.","","08/27/2018 10:47 am ET","McCain will become one of about three dozen people in U.S. history to be honored through this tradition, according to the Architect of the Capitol. Lying “in state” refers to government leaders and military members, and lying “in honor” refers to private citizens."
"1571530302-9284","https://search.huffpost.com/search;_ylt=Awr9Fq3ko6tdnQwACnNsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkAzk3TVhncUNtVEJLZFduc00xQUNwa0EEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzExBHF1ZXJ5A2pvaG4lMjBtY2NhaW4EdF9zdG1wAzE1NzE1MzAyNzk-?p=john+mccain&fr2=sb-top&fr=huffpost","5","https://search.huffpost.com/search;_ylt=AwrgDaMrpqtduSUA29hsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=john+mccain&fr=huffpost&fr2=sb-top&b=41&pz=10&bct=0&xargs=0","Cindy McCain Shares Nasty Message From Harasser On John McCain, Meghan McCain","Cindy McCain Shares Nasty Message From Harasser On John McCain, Meghan McCain","https://search.huffpost.com/click/_ylt=Awr9ImAtpqtdHVgAKzRsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559086/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fcindy-mccain-hate-message-john-mccain_n_5c924cd6e4b07e0572a08983/RK=2/RS=L9N30TKYI1RrmvHXIlS2PkT9gsw-","The hateful note came on the same day President Trump told reporters he “never will be” a fan of the late Arizona senator.","","03/20/2019 11:52 am ET","Cindy McCain, the widow of Sen. John McCain, shared a horrible message she received from a stranger named “Tiffany Nicole,” who called Cindy McCain’s late husband “traitorous” and wished her daughter, Meghan McCain, would choke on a hamburger."
"1571530305-9303","https://search.huffpost.com/search;_ylt=Awr9Fq3ko6tdnQwACnNsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkAzk3TVhncUNtVEJLZFduc00xQUNwa0EEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzExBHF1ZXJ5A2pvaG4lMjBtY2NhaW4EdF9zdG1wAzE1NzE1MzAyNzk-?p=john+mccain&fr2=sb-top&fr=huffpost","5","https://search.huffpost.com/search;_ylt=AwrgDaMrpqtduSUA29hsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=john+mccain&fr=huffpost&fr2=sb-top&b=41&pz=10&bct=0&xargs=0","Meghan McCain Slams Amy Klobuchar For Talking About John McCain","Meghan McCain Slams Amy Klobuchar For Talking About John McCain","https://search.huffpost.com/click/_ylt=Awr9ImAtpqtdHVgAKTRsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559086/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fmeghan-mccain-trump-inauguration-amy-klobuchar_n_5cec365ae4b00e0365730d81/RK=2/RS=uT5nJQahrpaLTfcp8UBqva8tvJM-","The daughter of the late Arizona senator told Klobuchar to “leave my [father’s] legacy and memory out of presidential politics.”","","05/27/2019 04:30 pm ET","“Your life is spent on weekends not with your family, not with your friends, but obsessing ― obsessing ― over great men you could never live up to. That tells you all you have to know about his pathetic life right there,” she told her co-hosts. She added that Trump would “never be a great man.”"
"1571530362-9567","https://search.huffpost.com/search;_ylt=Awr9Fq3ko6tdnQwACnNsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkAzk3TVhncUNtVEJLZFduc00xQUNwa0EEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzExBHF1ZXJ5A2pvaG4lMjBtY2NhaW4EdF9zdG1wAzE1NzE1MzAyNzk-?p=john+mccain&fr2=sb-top&fr=huffpost","3","https://search.huffpost.com/search;_ylt=AwrgDaMrpqtduSUA2dhsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=john+mccain&fr=huffpost&fr2=sb-top&b=21&pz=10&bct=0&xargs=0","7 Of The Most Heartbreaking Moments From Joe Biden’s Eulogy For John McCain","7 Of The Most Heartbreaking Moments From Joe Biden's Eulogy For John McCain","https://search.huffpost.com/click/_ylt=Awr9DuJhpqtdT.gAge1sBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559138/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fjoe-biden-john-mccain-memorial_n_5b88264be4b0162f4720c27c/RK=2/RS=3gqv00XYrwpJXDpqK7bYbpqwR8k-","The former vice president gave an emotional speech about the late senator during Thursday’s memorial in Phoenix.","","08/30/2018 04:07 pm ET","Watch Biden’s full eulogy below."
"1571530380-9628","https://search.huffpost.com/search;_ylt=Awr9Fq3ko6tdnQwACnNsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkAzk3TVhncUNtVEJLZFduc00xQUNwa0EEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzExBHF1ZXJ5A2pvaG4lMjBtY2NhaW4EdF9zdG1wAzE1NzE1MzAyNzk-?p=john+mccain&fr2=sb-top&fr=huffpost","2","https://search.huffpost.com/search;_ylt=AwrgDaMrpqtduSUA2NhsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=john+mccain&fr=huffpost&fr2=sb-top&b=11&pz=10&bct=0&xargs=0","Trump Campaign Aide Appears To Scold The Late Senator John McCain For His Silence","Trump Campaign Aide Appears To Scold The Late Senator John McCain For His Silence","https://search.huffpost.com/click/_ylt=Awr9DRV9pqtdEDYAFb1sBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559166/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2ftrump-campaign-aide-john-mccain-tweet_n_5c1c421ee4b05c88b6f6a396/RK=2/RS=hZAPwAvoZelK6FDYwceHeb_fKOY-","Twitter wags suggest Katrina Pierson might want to reach out instead to Abraham Lincoln.","","12/20/2018 10:35 pm ET","Pierson in turn blasted comments by the “looney left” and tweeted, “You guys are so dumb!” She insisted that her tweet refers to McCain “staffers” — and not the late senator."
"1571530321-9352","https://search.huffpost.com/search;_ylt=Awr9Fq3ko6tdnQwACnNsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkAzk3TVhncUNtVEJLZFduc00xQUNwa0EEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzExBHF1ZXJ5A2pvaG4lMjBtY2NhaW4EdF9zdG1wAzE1NzE1MzAyNzk-?p=john+mccain&fr2=sb-top&fr=huffpost","4","https://search.huffpost.com/search;_ylt=AwrgDaMrpqtduSUA2thsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=john+mccain&fr=huffpost&fr2=sb-top&b=31&pz=10&bct=0&xargs=0","Fox News Hosts Tear Into Donald Trump Over John McCain Attacks","Fox News Hosts Tear Into Trump Over John McCain Attacks","https://search.huffpost.com/click/_ylt=AwrT7dpHpqtdoAIAjitsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559111/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2ffox-news-hosts-donald-trump_n_5c933291e4b08c4fec346403/RK=2/RS=Yo1tmcVw7_FZXf6mkV.VZjGbKUI-","CNN hosts also criticized Trump’s disparaging remarks about the late Arizona senator.","","03/21/2019 04:40 am ET","“Whether you agree with John McCain or disagree with his attitude about war, he was a great human being and a historic figure, and there’s no logical reason to make these arguments after he’s dead,” Napolitano added."
"1571530337-9436","https://search.huffpost.com/search;_ylt=Awr9Fq3ko6tdnQwACnNsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkAzk3TVhncUNtVEJLZFduc00xQUNwa0EEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzExBHF1ZXJ5A2pvaG4lMjBtY2NhaW4EdF9zdG1wAzE1NzE1MzAyNzk-?p=john+mccain&fr2=sb-top&fr=huffpost","4","https://search.huffpost.com/search;_ylt=AwrgDaMrpqtduSUA2thsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=john+mccain&fr=huffpost&fr2=sb-top&b=31&pz=10&bct=0&xargs=0","Michelle Malkin Won’t Apologize For ‘Ghost Of John McCain’ Jab At CPAC","Michelle Malkin Won't Apologize For 'Ghost Of John McCain' Jab At CPAC","https://search.huffpost.com/click/_ylt=AwrT7dpHpqtdoAIAgitsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559111/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fmichelle-malkin-con_n_5c84e759e4b08d5b78628778/RK=2/RS=DrHWU69oN7ae2M54ssN8XsVCpog-","The conservative pundit claimed journalists started “a stupid catfight” by taking her words out of context.","Amy Russo","03/10/2019 08:22 am ET",""
"1571530313-9335","https://search.huffpost.com/search;_ylt=Awr9Fq3ko6tdnQwACnNsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkAzk3TVhncUNtVEJLZFduc00xQUNwa0EEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzExBHF1ZXJ5A2pvaG4lMjBtY2NhaW4EdF9zdG1wAzE1NzE1MzAyNzk-?p=john+mccain&fr2=sb-top&fr=huffpost","5","https://search.huffpost.com/search;_ylt=AwrgDaMrpqtduSUA29hsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=john+mccain&fr=huffpost&fr2=sb-top&b=41&pz=10&bct=0&xargs=0","Cindy McCain Celebrated As Cardinals’ Honorary Captain During Sunday Game","Cindy McCain Celebrated As Cardinals' Honorary Captain During Sunday Game","https://search.huffpost.com/click/_ylt=Awr9ImAtpqtdHVgAIzRsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559086/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fcindy-mccain-arizona-cardinals-honorary-captain_n_5b9599a8e4b0162f472e69af/RK=2/RS=xm3W9izm1nlS5Ib_xwFFCSb398U-","“We’re going to keep fighting for the America John believed in everyday,” McCain wrote after the coin toss.","","09/09/2018 07:58 pm ET","Her comments echoed an op-ed piece she authored in USA Today last week in which she championed her husband’s legacy and urged others to follow in his footsteps."
"1571530356-9524","https://search.huffpost.com/search;_ylt=Awr9Fq3ko6tdnQwACnNsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkAzk3TVhncUNtVEJLZFduc00xQUNwa0EEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzExBHF1ZXJ5A2pvaG4lMjBtY2NhaW4EdF9zdG1wAzE1NzE1MzAyNzk-?p=john+mccain&fr2=sb-top&fr=huffpost","3","https://search.huffpost.com/search;_ylt=AwrgDaMrpqtduSUA2dhsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=john+mccain&fr=huffpost&fr2=sb-top&b=21&pz=10&bct=0&xargs=0","White House Wanted USS John McCain ‘Out Of Sight’ During Trump’s Japan Visit: Reports","White House Wanted USS John McCain 'Out Of Sight' During Trump's Japan Visit: Reports","https://search.huffpost.com/click/_ylt=Awr9DuJhpqtdT.gAhe1sBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559138/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fuss-john-mccain-donald-trump_n_5cef1823e4b00cfa1965c84e/RK=2/RS=9V2aAOTyw5pR2mDNergfCWD8Yro-","The president has continued a long-running feud with Sen. John McCain, even though the lawmaker died last August.","","05/29/2019 09:26 pm ET","The USS John McCain is being repaired in Japan after a collision in 2017, and the Journal notes that moving the warship would have been difficult. The outlet reviewed photos from just before Trump’s visit and found that tarps hung over the ship’s name at times and that a barge was later moved to obscure it so it wouldn’t be instantly recognizable."
"1571530358-9531","https://search.huffpost.com/search;_ylt=Awr9Fq3ko6tdnQwACnNsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkAzk3TVhncUNtVEJLZFduc00xQUNwa0EEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzExBHF1ZXJ5A2pvaG4lMjBtY2NhaW4EdF9zdG1wAzE1NzE1MzAyNzk-?p=john+mccain&fr2=sb-top&fr=huffpost","3","https://search.huffpost.com/search;_ylt=AwrgDaMrpqtduSUA2dhsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=john+mccain&fr=huffpost&fr2=sb-top&b=21&pz=10&bct=0&xargs=0","Clyburn Renews Trump-Hitler Comparison Amid Trump Attacks On John McCain","Clyburn Renews Trump-Hitler Comparison Amid Trump Attacks On John McCain","https://search.huffpost.com/click/_ylt=Awr9DuJhpqtdT.gAg.1sBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559138/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fjames-clyburn-donald-trump-hitler_n_5c924f8be4b0f7ed945e8be2/RK=2/RS=o5R8PD86HACW2e4a4.BRs3ApGfM-","“This man and his family are the greatest threats to democracy of my lifetime,” the House majority whip said.","","03/20/2019 12:16 pm ET","“Adolf Hitler was elected chancellor of Germany. And he went about the business of discrediting institutions to the point that people bought into” it,” he said. “Nobody would have believed it now. But swastikas hung in churches throughout Germany. We had better be very careful.”"
"1571530367-9589","https://search.huffpost.com/search;_ylt=Awr9Fq3ko6tdnQwACnNsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkAzk3TVhncUNtVEJLZFduc00xQUNwa0EEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzExBHF1ZXJ5A2pvaG4lMjBtY2NhaW4EdF9zdG1wAzE1NzE1MzAyNzk-?p=john+mccain&fr2=sb-top&fr=huffpost","3","https://search.huffpost.com/search;_ylt=AwrgDaMrpqtduSUA2dhsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=john+mccain&fr=huffpost&fr2=sb-top&b=21&pz=10&bct=0&xargs=0","Meghan McCain Writes Emotional Letter Of Grief 3 Months After John McCain’s Death","Meghan McCain Writes Emotional Letter Of Grief 3 Months After John McCain’s Death","https://search.huffpost.com/click/_ylt=Awr9DuJhpqtdT.gAfe1sBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559138/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fmeghan-mccain-writes-emotional-note-of-grief-3-months-after-john-mccains-death_n_5bf2f2b9e4b0f32bd58c28af/RK=2/RS=MBJ0EA.a9oM6TZQpnD68gGBINK0-","“I don’t know how you go from talking to someone seven times a day to never,” she wrote. “Stay with me. Stay with me. Stay with me.”","","11/19/2018 02:13 pm ET","“It made me so inspired that the ideals my father espoused throughout his career are the ideals of America,” McCain said, touching on the support and respect people from all over the country expressed after her dad’s death."
"1571530296-9251","https://search.huffpost.com/search;_ylt=Awr9Fq3ko6tdnQwACnNsBmVH;_ylc=X1MDMTE5NzgwMzExNgRfcgMyBGZyA2h1ZmZwb3N0BGdwcmlkAzk3TVhncUNtVEJLZFduc00xQUNwa0EEbl9yc2x0AzAEbl9zdWdnAzgEb3JpZ2luA3NlYXJjaC5odWZmcG9zdC5jb20EcG9zAzAEcHFzdHIDBHBxc3RybAMwBHFzdHJsAzExBHF1ZXJ5A2pvaG4lMjBtY2NhaW4EdF9zdG1wAzE1NzE1MzAyNzk-?p=john+mccain&fr2=sb-top&fr=huffpost","5","https://search.huffpost.com/search;_ylt=AwrgDaMrpqtduSUA29hsBmVH;_ylu=X3oDMTEza3NiY3RnBGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNwYWdpbmF0aW9u?p=john+mccain&fr=huffpost&fr2=sb-top&b=41&pz=10&bct=0&xargs=0","Arizona Governor Names Jon Kyl As John McCain’s Senate Replacement","Arizona Governor Names Jon Kyl As John McCain's Senate Replacement","https://search.huffpost.com/click/_ylt=Awr9ImAtpqtdHVgAMTRsBmVH;_ylu=X3oDMTByNWU4cGh1BGNvbG8DZ3ExBHBvcwMxBHZ0aWQDBHNlYwNzYw--/RV=2/RE=1571559086/RO=10/RU=https%3a%2f%2fwww.huffpost.com%2fentry%2fjohn-mccain-replacement-jon-kyle_n_5b8eb317e4b0162f472777a3/RK=2/RS=6IXZXEz1MYqJpsWNpAvqBDficRg-","Cindy McCain called Kyl “a dear friend.”","","09/04/2018 12:41 pm ET","The governor said in his statement he was “deeply grateful” to Kyl for agreeing to succeed his friend and former colleague McCain."
