web-scraper-order,web-scraper-start-url,pages,pages-href,article_links,article_links-href,title,subtitle,author,date,content
"1571542046-29355","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","","Alexandria Ocasio-Cortez says tweets by her ex-chief of staff were 'divisive'","https://www.usatoday.com/story/news/politics/2019/08/08/alexandria-ocasio-cortez-ex-chief-staff-tweets-were-divisive/1957146001/","Alexandria Ocasio-Cortez says tweets by her ex-chief of staff were 'divisive'","House Speaker Nancy Pelosi expressed ""some level of confidence, and actually joy"" at the diversity of the House Democratic caucus and its ability to unify around issues.
    USA TODAY","","Published 3:22 p.m. ET Aug. 8, 2019","In a separate tweet, Chakrabarti said centrist Democrats ""still enable a racist system."""
"1571542046-29347","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","","Alexandria Ocasio-Cortez says tweets by her ex-chief of staff were 'divisive'","https://www.usatoday.com/story/news/politics/2019/08/08/alexandria-ocasio-cortez-ex-chief-staff-tweets-were-divisive/1957146001/","Alexandria Ocasio-Cortez says tweets by her ex-chief of staff were 'divisive'","House Speaker Nancy Pelosi expressed ""some level of confidence, and actually joy"" at the diversity of the House Democratic caucus and its ability to unify around issues.
    USA TODAY","","Published 3:22 p.m. ET Aug. 8, 2019","Ocasio-Cortez, however, maintained that she parted on good terms with Saikat Chakrabarti, during an exclusive interview with the New York Daily News posted Thursday."
"1571542046-29356","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","","Alexandria Ocasio-Cortez says tweets by her ex-chief of staff were 'divisive'","https://www.usatoday.com/story/news/politics/2019/08/08/alexandria-ocasio-cortez-ex-chief-staff-tweets-were-divisive/1957146001/","Alexandria Ocasio-Cortez says tweets by her ex-chief of staff were 'divisive'","House Speaker Nancy Pelosi expressed ""some level of confidence, and actually joy"" at the diversity of the House Democratic caucus and its ability to unify around issues.
    USA TODAY","","Published 3:22 p.m. ET Aug. 8, 2019","“It shows you how ignorant and little history [Chakrabarti] knows, how ignorant he is to American history. How dare he,” Clay said at the time."
"1571542053-29382","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","","AOC makes student loan payment to make point","https://www.usatoday.com/videos/news/politics/2019/09/11/aoc-makes-student-loan-payment-make-point/2283929001/","Ocasio-Cortez makes point by making student loan payment during hearing","null","","null",""
"1571542069-29411","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","","Fringe group claims it planned 'eat the babies' stunt at AOC town hall","https://www.usatoday.com/story/news/politics/2019/10/04/fringe-group-planned-eat-babies-stunt-aoc-town-hall/3869116002/","Fringe group claims it planned 'eat the babies' stunt at AOC town hall","Rep. Alexandria Ocasio-Cortez said it's better to be a ""wack job"" than a ""criminal who betrays our country"" in Twitter spat with President Trump.
    USA TODAY","","Published 9:37 p.m. ET Oct. 4, 2019","Video shows the woman continuing to raise her voice as Ocasio-Cortez shows little reaction. The woman goes on, saying, “Even if we would bomb Russia, we still have too many people, too much pollution, so we have to get rid of the babies. Just stopping having babies is not enough; we need to eat the babies.”"
"1571542081-29451","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","","'@JulianCastro coming with the straight up truth': AOC livetweets the Democratic debate","https://www.usatoday.com/story/news/politics/elections/2019/10/15/aoc-livetweets-democratic-presidential-debate/3993646002/","'@JulianCastro coming with the straight up truth': AOC livetweets the Democratic debate","Democratic socialist Alexandria Ocasio-Cortez is the newest political figure everyone loves or loves to hate. From her ‘Green New Deal’ proposal to combat climate change to her clapbacks against Trump and her critics, here’s how AOC danced her way into the spotlight.
    USA TODAY","Nicholas Wu","Published 10:55 p.m. ET Oct. 15, 2019 | Updated 11:53 a.m. ET Oct. 16, 2019",""
"1571542062-29407","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","","AOC tells Donald Trump it's better to be a 'wack job' than a 'criminal who betrays our country' in Twitter spat","https://www.usatoday.com/story/news/politics/2019/10/03/aoc-donald-trump-better-wack-job-than-criminal-twitter/3861231002/","AOC tells Donald Trump it's better to be a 'wack job' than a 'criminal who betrays our country' in Twitter spat","Rep. Alexandria Ocasio-Cortez said it's better to be a ""wack job"" than a ""criminal who betrays our country"" in Twitter spat with President Trump.
    USA TODAY","","Published 11:43 p.m. ET Oct. 3, 2019 | Updated 11:23 a.m. ET Oct. 4, 2019","California senator and 2020 Democratic presidential hopeful Kamala Harris has called for Trump's Twitter account to be suspended."
"1571542051-29367","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","","AOC says bigger scandal than Trump's 'lawbreaking behavior' is Dems' refusal to impeach","https://www.usatoday.com/story/news/politics/2019/09/22/aoc-says-bigger-scandal-than-ukraine-dems-refusal-impeach-trump/2410671001/","AOC says bigger scandal than Trump's 'lawbreaking behavior' is Dems' refusal to impeach","Biden's son Hunter had business interests in Ukraine, said Trump is using his power to get a foreign government to find dirt on a political rival.
    Wochit, Wochit","","Published 11:46 a.m. ET Sept. 22, 2019 | Updated 1:34 p.m. ET Sept. 22, 2019","Although House Speaker Nancy Pelosi still opposes impeachment, it appears that the controversy is starting to shift the calculus for some Democrats."
"1571542096-29515","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","","Bernie Sanders is big Democratic debate winner, and only partly due to his performance","https://www.usatoday.com/story/opinion/2019/10/16/alexandria-ocasio-cortez-bernie-sanders-democratic-debate-column/3990254002/","Bernie Sanders is big Democratic debate winner, and only partly due to his performance","Debate winners and losers, Warren on the defensive, and what we're watching for before the next Democratic debate.
    Hannah Gaber, USA TODAY","","Published 7:10 a.m. ET Oct. 16, 2019 | Updated 4:36 p.m. ET Oct. 16, 2019","Jason Sattler, a writer based in Ann Arbor, Michigan, is a member of USA TODAY’s Board of Contributors and host of ""The GOTMFV Show"" podcast. Follow him on Twitter: @LOLGOP"
"1571542059-29396","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","","'They’re just mad we look good doing it': AOC responds to story about the price of her hairstyle","https://www.usatoday.com/story/news/politics/2019/10/10/aoc-slams-story-criticizing-her-price-her-hairstyle/3928926002/","Save up to $1,800","The Washington Times published an article and quoted ""sources familiar"" with AOC's hair salon and estimated she spends $300 on her hair.
    USA TODAY","","Published 11:11 a.m. ET Oct. 10, 2019 | Updated 8:01 p.m. ET Oct. 10, 2019","""I regret to inform the Washington Times that women's haircuts are, indeed, unconscionably expensive,"" said Lawfare Managing Editor Quinta Jurecic."
"1571542096-29501","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","","Bernie Sanders is big Democratic debate winner, and only partly due to his performance","https://www.usatoday.com/story/opinion/2019/10/16/alexandria-ocasio-cortez-bernie-sanders-democratic-debate-column/3990254002/","Bernie Sanders is big Democratic debate winner, and only partly due to his performance","Debate winners and losers, Warren on the defensive, and what we're watching for before the next Democratic debate.
    Hannah Gaber, USA TODAY","","Published 7:10 a.m. ET Oct. 16, 2019 | Updated 4:36 p.m. ET Oct. 16, 2019","But the winner of the night was older than the two youngest candidates on stage — Gabbard, 38, and South Bend, Indiana, Mayor Pete Buttigieg, 37 — combined."
"1571542014-29275","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","","AOC's Green New Deal climate-change plan, explained","https://www.usatoday.com/videos/news/justthefaqs/2019/09/24/ocasio-cortez-green-new-deal/2427398001/","AOC's Green New Deal climate-change plan, explained","null","","null",""
"1571542069-29409","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","","Fringe group claims it planned 'eat the babies' stunt at AOC town hall","https://www.usatoday.com/story/news/politics/2019/10/04/fringe-group-planned-eat-babies-stunt-aoc-town-hall/3869116002/","Fringe group claims it planned 'eat the babies' stunt at AOC town hall","Rep. Alexandria Ocasio-Cortez said it's better to be a ""wack job"" than a ""criminal who betrays our country"" in Twitter spat with President Trump.
    USA TODAY","","Published 9:37 p.m. ET Oct. 4, 2019","WASHINGTON — A fringe political group claimed responsibility for a strange stunt at a town hall speech by Rep. Alexandria Ocasio-Cortez, who was interrupted repeatedly by a woman who boisterously claimed people need to save the planet by ""eating babies."""
"1571542072-29432","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","","AOC on DC statehood: 'Disenfranchisement' of DC rooted in the 'history of slavery'","https://www.usatoday.com/story/news/politics/2019/09/19/ocasio-cortez-disenfranchisement-d-c-rooted-legacy-slavery/2375336001/","AOC on DC statehood: 'Disenfranchisement' of DC rooted in the 'history of slavery'","Representative Ocasio-Cortez told her peers that she had made a student loan payment while attending a hearing on student debt.
    USA TODAY","","Published 2:58 p.m. ET Sept. 19, 2019 | Updated 10:50 a.m. ET Sept. 20, 2019","How does statehood work?: Will DC become the 51st state? Advocates to make their case in Congress with boost from Elizabeth Warren"
"1571542069-29418","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","","Fringe group claims it planned 'eat the babies' stunt at AOC town hall","https://www.usatoday.com/story/news/politics/2019/10/04/fringe-group-planned-eat-babies-stunt-aoc-town-hall/3869116002/","Fringe group claims it planned 'eat the babies' stunt at AOC town hall","Rep. Alexandria Ocasio-Cortez said it's better to be a ""wack job"" than a ""criminal who betrays our country"" in Twitter spat with President Trump.
    USA TODAY","","Published 9:37 p.m. ET Oct. 4, 2019","In response to the woman's outburst, originally Ocasio-Cortez reprimanded critics for attempting to “mock or make a spectacle” of the woman who “may have been suffering from a mental condition… Be a decent human being and knock it off.”"
"1571542078-29444","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","","AOC to endorse Bernie Sanders in 2020 Democratic presidential primary","https://www.usatoday.com/story/news/politics/elections/2019/10/15/democratic-primary-aoc-endorse-bernie-sanders-president/3994047002/","AOC to endorse Bernie Sanders in 2020 Democratic presidential primary","Democratic socialist Alexandria Ocasio-Cortez is the newest political figure everyone loves or loves to hate. From her ‘Green New Deal’ proposal to combat climate change to her clapbacks against Trump and her critics, here’s how AOC danced her way into the spotlight.
    USA TODAY","","Published 11:11 p.m. ET Oct. 15, 2019 | Updated 11:52 a.m. ET Oct. 16, 2019","Sanders had promoted the rally, which will take place in Queens, New York, during the debate, along with the promise of a ""special guest."""
